Società,Email,Sito Internet,Sede Legale,Sede Operativa,Settori Attività
"ERG POWER & GAS S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01332460896
 C.F. 01332460896
 Anno di costituzione 2000",operations@ergpg.it,www.ergpg.it,"Via De Marini,
1 - 16149
GENOVA(Genova)","Via De Marini ,
1 - 16149
GENOVA(Genova)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 u) attività gas estere"
"ERGON ENERGIA SRL in liquidazione
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02431280987
 C.F. 02431280987
 Anno di costituzione 2003",info@ergonenergia.it,www.ergonenergia.it,"Corso Di Porta Vittoria,
4 - 20122
MILANO(Milano)","Corso Di Porta Vittoria,
4 - 20122
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"EROGASMET VENDITA - VIVIGAS S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 13149000153
 C.F. 13149000153     
 Anno di costituzione 2000",,www.vivigas.it,"Via Via Vittorio Emanuele II, 4/28,
4/28 - 25030
RONCADELLE(Brescia)","Via Via Vittorio Emanuele II, 4/28,
4/28 - 25030
RONCADELLE(Brescia)","g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ESA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02116360690
 C.F. 02116360690
 Anno di costituzione 2005",esa@serpellinigroup.it,www.serpellinigroup.it,"Via Gran Sasso,
snc - 66100
CHIETI(Chieti)","Via Gran Sasso,
snc - 66100
CHIETI(Chieti)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"ESPANSIONE SRL SOLUZIONE PER L'ENERGIA
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02083290029
 C.F. 02083290029
 Anno di costituzione 2002",info@espansione-energia.it,www.espansione-energia.it,"Via Vittorio Veneto ,
8/E - 21013
GALLARATE(Varese)","Via Vittorio Veneto ,
8/E - 21013
GALLARATE(Varese)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"ESTENERGY S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 00997630322
 C.F. 00997630322
 Anno di costituzione 2000",info@estenergy.it,www.estenergy.it,"Via Via dei Rettori,
1 - 34121
TRIESTE(Trieste)","Via Via dei Rettori,
1 - 34121
TRIESTE(Trieste)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"E.S.TR.A. ELETTRICITA' S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02033530979
 C.F. 02033530979
 Anno di costituzione 2006",boffice@estraelettricita.it,www.estraelettricita.it,"Via Ugo Panziera,
16 - 59100
PRATO(Prato)","Via Ugo Panziera,
16 - 59100
PRATO(Prato)",g) vendita a clienti liberi dell'energia elettrica
"EUGANEA ENERGIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 03000110241
 C.F. 03000110241
 Anno di costituzione 2010",euganeaenergia@cegalin.com,www.euganeaenergia.eu,"Via viale della Pace ,
146 - 36100
VICENZA(Vicenza)","Via viale della Pace ,
146 - 36100
VICENZA(Vicenza)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"EXERGIA SPA
 Società per azioni (S.p.a.)
 P.IVA 02711220125
 C.F. 02711220125
 Anno di costituzione 2002",c.riboni@exergia.it,www.exergia.it,"Via Orrigoni ,
8 - 21100
VARESE(Varese)","Via Sempione,
15/A - 21013
GALLARATE(Varese)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"FARENERGIA
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01469790628
 C.F. 01469790628
 Anno di costituzione 2009",info@farenergia.com,www.farenergia.com,"Via dell'ambiente,
1 - 82021
APICE(Benevento)","Via dell'ambiente,
1 - 82021
APICE(Benevento)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 altro"
"FINTEL MULTISERVIZI SPA
 Società per azioni (S.p.a.)
 P.IVA 02658620402
 C.F. 02658620402
 Anno di costituzione 1999",info@fintel.bz,www.fintel.bz,"Via VIA PERANDA ,
2 - 62100
MACERATA(Macerata)","Via ENRICO FERMI ,
19/21 - 62010
POLLENZA(Macerata)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"FLY NETWORK ENERGIE S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 06053361009
 C.F. 06053361009
 Anno di costituzione 2000",info@flynetwork.it,www.flynetwork.it,"Via Via Alfredo Casella  ,
19 - 00199
ROMA(Roma)","Via Luigi Mancinelli,
25-27-29 - 00199
ROMA(Roma)","a) produzione dell'energia elettrica 
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"FLYENERGIA SPA
 Società per azioni (S.p.a.)
 P.IVA 02302600982
 C.F. 02302600982
 Anno di costituzione 2002",bignotti.alessio@flyenergia.it,www.flyenergia.it,"Via Donatori di Sangue,
6/D - 25050
PADERNO FRANCIACORTA(Brescia)","Via Donatori di Sangue,
6/D - 25050
PADERNO FRANCIACORTA(Brescia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"FONTEL SPA
 Società per azioni (S.p.a.)
 P.IVA 07281070636
 C.F. FNZGRL72A31F839P
 Anno di costituzione 1998",energia@fontel.it,,"Via VIA TOLEDO ,
329 - 80132
NAPOLI(Napoli)","Via CENTRO DIREZIONALE,
ISOLA A/2 - 80143
NAPOLI(Napoli)",g) vendita a clienti liberi dell'energia elettrica
"GALA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 06832931007
 C.F. 06832931007
 Anno di costituzione 2001",info@galaenergia.it,www.galaenergia.it,"Via via P. Borsieri,
20 - 00195
ROMA(Roma)","Via via P. Borsieri,
20 - 00195
ROMA(Roma)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"GAS PLUS VENDITE
 Società a responsabilita limitata (S.r.l.)
 P.IVA 04564800961
 C.F. 04564800961
 Anno di costituzione 2004",utenze.fidenza@gasplus.it,www.gasplus.it,"Via VIALE ENRICO FORLANINI 17,
17 - 20134
MILANO(Milano)","Via VIALE ENRICO FORLANINI 17,
17 - 20134
MILANO(Milano)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale
 attività non riconducibili ai settori dell'energia elettrica e del gas"
"GAS SALES S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01340300332
 C.F. 01340300332
 Anno di costituzione 2001",susanna.curti@gassales.it,,"Via VIA FABIO FILZI,
33 - 20124
MILANO(Milano)","Via Matteotti,
36 - 29010
ALSENO(Piacenza)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"GASCOM S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 08382071002
 C.F. 08382071002
 Anno di costituzione 2005",info@gascom.it,www.gascom.it,"Via Via San Marco,
11 - 35129
PADOVA(Padova)","Via Via San Marco,
11 - 35129
PADOVA(Padova)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"GELSIA ENERGIA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03525690966
 C.F. 03525690966
 Anno di costituzione 2002",,www.gelsia.it,"Via VIA F.LLI BANDIERA,
26 - 20038
SEREGNO(Milano)","Via palestro,
33 - 20038
SEREGNO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"GENIA ENERGIA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 04947520963
 C.F. 04947520963
 Anno di costituzione 2005",,,"Via Via della Pace ,
41 - 20098
SAN GIULIANO MILANESE(Milano)","Via della Pace ,
41 - 20098
SAN GIULIANO MILANESE(Milano)","g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 altro"
"GENIA ENERGY TRADING S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 06705840962
 C.F. 06705840962
 Anno di costituzione 2009",info@geniaspa.com,www.geniaspa.com,"Via DELLA PACE,
41 - 20098
SAN GIULIANO MILANESE(Milano)","Via DELLA PACE,
41 - 20098
SAN GIULIANO MILANESE(Milano)","g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"GEOENERGIE S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02384370165
 C.F. 00998130165
 Anno di costituzione 1982",geoenergie@geogreen.it,www.geogreen.it,"Via Via Verdi,
11 - 24121
BERGAMO(Bergamo)","Via Via Cà Antonelli,
55 - 24024
GANDINO(Bergamo)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale
 trasporto, distribuzione e vendita di energia termica"
"GLOBAL ENERGY S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03364290274
 C.F. 03364290274
 Anno di costituzione 2002",info@globalenergyweb.com,www.globalenergyweb.com,"Via VERIZZO,
1030 - 31053
PIEVE DI SOLIGO(Treviso)","Via GIUDECCA,
2/3 - 30035
MIRANO(Venezia)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"GLOBAL POWER S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 03443420231
 C.F. 03443420231
 Anno di costituzione 2004",info@globalpower.it,www.globalpower.it,"Via Corso Milano,
55 - 37138
VERONA(Verona)","Corso Porta Nuova,
127 - 37122
VERONA(Verona)","g) vendita a clienti liberi dell'energia elettrica 
 altro"
"GREEN NETWORK S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 07451521004
 C.F. 07451521004
 Anno di costituzione 2003",info@greennetwork.it,www.greennetwork.it,"Via GIOVANNI PAISIELLO,
55 - 00198
ROMA(Roma)","Via giovanni paisiello,
55 - 00198
ROMA(Roma)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"GREEN NETWORK SUD
 Società a responsabilita limitata (S.r.l.)
 P.IVA 06309150727
 C.F. 06309150727
 Anno di costituzione 2005",info@greennetwork.it,www.greennetworksud.it,"Via GIOVANNI PAISIELLO,
53/55 - 00198
ROMA(Roma)","Via GIOVANNI PAISIELLO,
53/55 - 00198
ROMA(Roma)",g) vendita a clienti liberi dell'energia elettrica
"GRUPPO GEA S.p.A.
 Società per azioni (S.p.a.)
 P.IVA 01692800681
 C.F. 01692800681
 Anno di costituzione 2003",info@gruppogeaspa.it,www.gruppogeaspa.it,"Via LAGO DI BRACCIANO,
4 - 65016
MONTESILVANO(Pescara)","Via BASILEA,
6 - 65010
SPOLTORE(Pescara)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"HELIOS S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 04468130655
 C.F. 04468130655
 Anno di costituzione 2007",info@heliosenergia.it,www.heliosenergia.it,"Via PIO XI ,
7 - 84125
SALERNO(Salerno)","Via PIO XI ,
7 - 84125
SALERNO(Salerno)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"HERA COMM MEDITERRANEA S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02171831205
 C.F. 02171831205
 Anno di costituzione 2001",sergio.letizia@gruppohera.it,www.heracommmediterranea.it,"Via Zona Industriale ASI,
1 - 81032
CARINARO(Caserta)","Via Molino Rosso,
8 - 40026
IMOLA(Bologna)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"HERA COMM S.R.L. SOCIO UNICO HERA S.P.A.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02221101203
 C.F. 02221101203
 Anno di costituzione 2001",marco.santandrea@gruppohera.it,www.gruppohera.it,"Via Via Molino Rosso,
8 - 40026
IMOLA(Bologna)","Via Via Molino Rosso,
8 - 40026
IMOLA(Bologna)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 s) vendita a clienti finali del gas naturale
 servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
"INNOWATIO S.p.A.
 Società per azioni (S.p.a.)
 P.IVA 03486370160
 C.F. 03486370160
 Anno di costituzione 2008",info@innowatio.it,www.innowatio.it,"Via padre elzi ,
28/a - 24050
GRASSOBBIO(Bergamo)","Via padre elzi ,
28/a - 24050
GRASSOBBIO(Bergamo)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"Integra Energy S.r.l.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 04419160967
 C.F. 04419160967
 Anno di costituzione 2004",,www.pirellire.com,"Viale Piero e Alberto Pirelli,
21 - 20126
MILANO(Milano)","Viale Piero e Alberto Pirelli,
21 - 20126
MILANO(Milano)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"INTERENERGY SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01640230999
 C.F. 01640230999
 Anno di costituzione 2006",info@interenergysrl.it,www.interenergysrl.it,"Via AL PONTE CALVI,
3 / 10 - 16124
GENOVA(Genova)","Via AL PONTE CALVI,
3 / 10 - 16124
GENOVA(Genova)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"IPI ISTITUTO PROMOZIONALE PER L'INDUSTRIA SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 00341780245
 C.F. 00341780245
 Anno di costituzione 1975",ipi@assind.vi.it,,"Piazza CASTELLO,
3 - 36100
VICENZA(Vicenza)","Piazza CASTELLO,
3 - 36100
VICENZA(Vicenza)",g) vendita a clienti liberi dell'energia elettrica
"ISOGAS S.R.L. A SOCIO UNICO
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01035220316
 C.F. 01035220316
 Anno di costituzione 2002",,,"Via Via Cau de Mezo,
8 - 34077
RONCHI DEI LEGIONARI(Gorizia)","Via Via Cau de Mezo,
8 - 34077
RONCHI DEI LEGIONARI(Gorizia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ITALCOGIM ENERGIE S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 13422890155
 C.F. 13422890155     
 Anno di costituzione 2001",regolazione@italcogimenergie.it,www.italcogimenergie.it,"Via Giovanni Spadolini,
7 - 20141
MILANO(Milano)","Via Giovanni Spadolini,
7 - 20141
MILANO(Milano)","g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"ITALGEN S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02605580162
 C.F. 09438800154
 Anno di costituzione 2001",commerciale@italgen.it,www.italgen.it,"Via Via G. Camozzi,
124 - 24121
BERGAMO(Bergamo)","Via J.F. Kennedy,
snc - 24020
VILLA DI SERIO(Bergamo)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica 
 i) attività elettriche estere
 altro"
"LA LUCE 
 Società per azioni (S.p.a.)
 P.IVA 09610141005
 C.F. 09610141005
 Anno di costituzione 2007",info@lalucespa.it,www.lalucespa.it,"Via GIOVANNI PAISIELLO,
53/55 - 00198
AFFILE(Roma)","Via GIOVANNI PAISIELLO,
53/55 - 00198
AFFILE(Roma)",g) vendita a clienti liberi dell'energia elettrica
"LIFEGATE SPA
 Società per azioni (S.p.a.)
 P.IVA 02524630130
 C.F. 02524630130
 Anno di costituzione 2000",info@lifegate.it,www.lifegate.it,"Via manzoni,
18 - 22046
MERONE(Como)","Via manzoni,
18 - 22046
MERONE(Como)",g) vendita a clienti liberi dell'energia elettrica
"LINEA PIU S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01275720199
 C.F. 01275720199
 Anno di costituzione 2002",info@linea-piu.it,www.linea-piu.it,"Via Via Donegani,
21 - 27100
PAVIA(Pavia)","Via Via Donegani,
21 - 27100
PAVIA(Pavia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"LUCAS ENGINE SPA
 Società per azioni (S.p.a.)
 P.IVA 07050611008
 C.F. 07050611008
 Anno di costituzione 2002",,,"Via Savoia,
38 - 96100
SIRACUSA(Siracusa)","Via Savoia,
38 - 96100
SIRACUSA(Siracusa)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"LUCOS ALTERNATIVE ENERGIES SPA
 Società per azioni (S.p.a.)
 P.IVA 09822071008
 C.F. 09822071008
 Anno di costituzione 2008",info@lucosenergia.com,www.lucosenergia.com,"Corso GALILEO FERRARIS,
70 - 10129
TORINO(Torino)","Via BONCOMPAGNI,
93 - 00187
ROMA(Roma)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica
 altro"
"LUMENERGIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 01948840986
 C.F. 03405300173
 Anno di costituzione 2010",info@lumenergia.it,www.lumenergia.it,"Via Via Monsuello, 154,
154 - 25065
LUMEZZANE(Brescia)","Via Glisenti ,
68/f - 25069
LUMEZZANE(Brescia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"MEGAWATT ONE 
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01627300708
 C.F. 01627300708
 Anno di costituzione 2009",studio.manganiello@tiscali.it,,"Via S.Lorenzo ,
64 - 86100
CAMPOBASSO(Campobasso)","Via serino,
66 - 83042
ATRIPALDA(Avellino)","a) produzione dell'energia elettrica 
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"METAENERGIA SPA
 Società per azioni (S.p.a.)
 P.IVA 10384791009
 C.F. 10384701009
 Anno di costituzione 2009",metaenergia@metaenergia.it,www.metaenergia.it,"Via BARBERINI,
86 - 00187
ROMA(Roma)","Via BARBERINI,
86 - 00187
ROMA(Roma)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"METAMER S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02030110692
 C.F. 02030110692
 Anno di costituzione 2002",info@metamer.it,www.metamer.it,"Corso Garibaldi,
71 - 66050
SAN SALVO(Chieti)","Corso Garibaldi,
71 - 66050
SAN SALVO(Chieti)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"Modula S.r.l
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01330160555
 C.F. 01330160555
 Anno di costituzione 2005",info@modulaenergie.com,www.modulaenergie.com,"Via GIOVANNI PAISIELLO,
55 - 00198
ROMA(Roma)","Via GIOVANNI PAISIELLO,
55 - 00198
ROMA(Roma)",g) vendita a clienti liberi dell'energia elettrica
"MULTIUTILITY S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 03027910235
 C.F. 03027910235
 Anno di costituzione 2001",info@multiutility.it,www.multiutility.it,"Viale DEL LAVORO,
33 - 37135
VERONA(Verona)","Viale DEL LAVORO,
33 - 37135
VERONA(Verona)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"NIGGELER & KUPFER ENERGIA
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02442340986
 C.F. 02442340986
 Anno di costituzione 2003",ugo.corna@grupponk.it,,"Via VIA  G.NIGGELER 67,
67 - 25031
CAPRIOLO(Brescia)","Via VIA  G.NIGGELER 67,
67 - 25031
CAPRIOLO(Brescia)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"NUOVA SOLMINE  S.p.A.
 Società per azioni (S.p.a.)
 P.IVA 01420420067
 C.F. 01420420067
 Anno di costituzione 1989",alberto.dellomodarme@tiscali.it,www.solmine.it,"- LOCALITA' CASONE,
snc - 58020
SCARLINO(Grosseto)","- LOCALITA' CASONE,
snc - 58020
SCARLINO(Grosseto)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica"
"NUOVA SOLMINE MARKETING SPA
 Società per azioni (S.p.a.)
 P.IVA 00911300531
 C.F. 00911300531
 Anno di costituzione 1987",alberto.dellomodarme@tiscali.it,www.solmine.it,"- Località Casone,
snc - 58020
SCARLINO(Grosseto)","- Località Casone,
snc - 58020
SCARLINO(Grosseto)",g) vendita a clienti liberi dell'energia elettrica
"OMNIA ENERGIA PIU'
 Società a responsabilita limitata (S.r.l.)
 P.IVA 02959310786
 C.F. 02959310786
 Anno di costituzione 2008",info@omniaenergiapiu.it,www.omniaenergiapiu.it,"Via Niccolò Paganini,
8 - 50127
FIRENZE(Firenze)","Via Niccolò Paganini,
8 - 50127
FIRENZE(Firenze)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"OMNIA ENERGIA S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02599020787
 C.F. 02599020787
 Anno di costituzione 2003",info@omniaenergia.it,www.omniaenergia.it,"Via Popilia,
250/N - 87100
COSENZA(Cosenza)","Via Popilia,
250/N - 87100
COSENZA(Cosenza)",g) vendita a clienti liberi dell'energia elettrica
"ONDA S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 07491751009
 C.F. 07491751009
 Anno di costituzione 2003",segreteria@ondaenergia.com,,"Via PORRO GIAN GIACOMO,
8 - 00197
ROMA(Roma)","Via PORRO GIAN GIACOMO,
8 - 00197
ROMA(Roma)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"Österreichische Elektrizitätswirtschafts Aktiengesellschaft (VERBUND)
 Società per azioni (S.p.a.)
 P.IVA ATU14703908
 C.F. ATU14703908
 Anno di costituzione 1947",apt@verbund.at,www.verbund.at,"Via Am Hof,
6a - 01010
null(Z102)","Via Am Hof,
6a - 01010
null(Z102)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 i) attività elettriche estere
 u) attività gas estere"
"PANDORA
 Società per azioni (S.p.a.)
 P.IVA 02745010542
 C.F. 02745010542
 Anno di costituzione 2004",info@pandoraenergia.it,www.pandoraenergia.it,"Via della Bufalotta,
374 - 00139
ROMA(Roma)","Via della Bufalotta,
374 - 00139
ROMA(Roma)","c) dispacciamento dell'energia elettrica 
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica"
"PASUBIO SERVIZI S.R.L. UNIPERSONALE
 Società a responsabilita limitata (S.r.l.)
 P.IVA 03196080240
 C.F. 03196080240
 Anno di costituzione 2004",clienti@pasubioservizi.it,www.pasubioservizi.it,"Via Via Cementi ,
37 - 36015
SCHIO(Vicenza)","Via Via Cementi ,
37 - 36015
SCHIO(Vicenza)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"PEDROTTI ADELE SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 00635200140
 C.F. 00635200140
 Anno di costituzione 1992",info@serpentino.it,,"Via MOROSINI,
36 - 20135
MILANO(Milano)","Località basci,
1 - 23020
TORRE DI SANTA MARIA(Sondrio)","a) produzione dell'energia elettrica 
 g) vendita a clienti liberi dell'energia elettrica 
 attività non riconducibili ai settori dell'energia elettrica e del gas"
"Poste Energia
 Società per azioni (S.p.a.)
 P.IVA 09651101009
 C.F. 09651101009
 Anno di costituzione 2007",,,"Viale Europa,
175 - 00144
ROMA(Roma)","Viale Europa,
175 - 00144
ROMA(Roma)",g) vendita a clienti liberi dell'energia elettrica
"POWER ENERGIA
 Societa cooperativa a responsabilità limitata (S.c.r.l.)
 P.IVA 02709221200
 C.F. 02709221200
 Anno di costituzione 2006",,,"Via Via Calzoni,
1/3 - 40128
BOLOGNA(Bologna)","Via Via Dell'Arrigoni,
60 - 47023
CESENA(Forlì-Cesena)","g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica"
"PROMETEO S.P.A.
 Società per azioni (S.p.a.)
 P.IVA 02089000422
 C.F. 02089000422
 Anno di costituzione 2001",info@prometeoenergia.it,www.prometeoenergia.it,"Via VIA ADRIATICA 2 S.S. 16 KM 309,
2 - 60027
OSIMO(Ancona)","Via VIA ADRIATICA 2 S.S. 16 KM 309,
2 - 60027
OSIMO(Ancona)","f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 r) acquisto e vendita all'ingrosso del gas naturale
 s) vendita a clienti finali del gas naturale"
"RESS SRL
 Società a responsabilita limitata (S.r.l.)
 P.IVA 01597940160
 C.F. 01597940160
 Anno di costituzione 2000",,,"Via Via Serassi,
21 - 24124
BERGAMO(Bergamo)","Via Via Serassi,
21 - 24124
BERGAMO(Bergamo)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
"Rinnovia s.r.l.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 10162841000
 C.F. 10162841000
 Anno di costituzione 2008",info@rinnovia.it,www.rinnovia.it,"Via E. Maragliano,
32 - 00151
ROMA(Roma)","Via E. Maragliano,
32 - 00151
ROMA(Roma)","a) produzione dell'energia elettrica 
 e) misura dell'energia elettrica
 f) acquisto e vendita all'ingrosso dell'energia elettrica
 g) vendita a clienti liberi dell'energia elettrica 
 h) vendita a clienti tutelati dell'energia elettrica 
 i) attività elettriche estere"
"ROMA GAS S.R.L.
 Società a responsabilita limitata (S.r.l.)
 P.IVA 08395581005
 C.F. 08395581005
 Anno di costituzione 2005",romagas@romagas.it,www.romagas.it,"Via Via Clitunno ,
51 - 00198
ROMA(Roma)","Via Nomentana,
251 A - 00162
ROMA(Roma)","g) vendita a clienti liberi dell'energia elettrica 
 s) vendita a clienti finali del gas naturale"
